Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
2009,Japan,34.5,12.8,3.8,1319,,30.0,6,
2023,USA,11.3,3.0,2.4,,420542436,45.6,2,24.3
2017,China,29.8,11.4,4.2,2868,600974146,46.7,6,59.2
2004,UK,16.2,14.3,1.6,1396,331580116,8.4,8,24.5
2022,Japan,8.7,3.9,2.3,2766,734430197,16.3,4,17.8
2023,UK,27.1,19.5,1.3,2472,1018161882,35.1,2,52.9
2000,USA,12.1,9.3,1.9,2051,1380798693,45.0,14,14.2
2021,Japan,16.1,3.6,4.3,991,5467801,25.7,7,29.9
2010,France,14.0,2.9,2.1,1085,218199220,17.1,14,65.9
2020,China,10.2,17.1,1.1,2227,738275078,27.3,9,67.1
2016,China,19.9,1.1,1.9,1034,438565972,30.2,9,56.7
2008,Canada,27.4,13.5,3.9,2999,108305812,20.0,8,41.8
2000,UK,33.5,2.8,4.1,1539,949007159,31.4,13,61.0
2004,India,22.6,9.9,1.0,624,200614447,39.0,14,18.1
2004,Japan,22.6,,1.2,1604,355479880,48.0,3,29.2
2005,Canada,25.9,8.1,3.1,2361,393359182,15.8,9,64.8
2009,UK,18.9,,2.6,1401,809451155,30.2,7,33.2
2018,China,18.1,11.4,1.9,1802,792341941,23.9,5,64.6
2016,Brazil,33.1,10.3,2.3,1933,245823381,30.3,8,67.7
2008,France,6.5,11.0,1.4,526,76154255,44.7,10,47.6
2000,India,32.3,6.5,1.2,1066,211473371,,8,17.5
2018,Japan,28.4,9.9,3.5,1203,471260143,,0,57.2
2012,France,5.2,2.8,2.1,1742,313545957,17.2,3,11.1
2012,Japan,6.7,19.2,2.1,684,872248030,21.7,6,39.0
2003,USA,11.8,14.4,2.3,2090,1373223501,30.6,10,29.9
2000,France,8.9,,3.7,2413,178651192,44.7,,54.4
2016,Brazil,17.0,4.9,4.5,1347,1221021496,47.4,8,28.8
2007,China,5.4,13.7,2.9,1857,115282073,35.1,12,57.6
2006,China,13.5,12.7,3.8,2626,1011298802,23.5,10,69.4
2021,UK,6.1,16.4,1.9,2960,540662250,7.2,12,69.1
2021,Canada,13.3,10.3,1.8,1045,347844379,13.6,9,11.7
2002,USA,13.3,1.9,2.2,2132,927083911,40.6,5,30.3
2017,Japan,28.6,6.6,4.6,2716,1039025430,,11,16.5
2011,Brazil,34.2,18.7,3.2,2579,803907356,18.6,7,25.7
2021,France,17.9,19.6,2.4,2426,885256390,43.4,8,11.9
2011,USA,30.3,12.7,2.6,1116,814540393,38.7,9,41.2
2015,France,30.6,4.1,4.3,2259,833635961,16.3,13,38.5
2014,Brazil,6.4,0.9,3.3,725,558731629,46.4,7,57.4
2022,India,23.6,8.1,2.4,1169,1314459009,31.2,1,18.0
2014,India,21.9,4.2,4.2,2263,757754968,,10,28.6
2020,USA,14.5,18.7,4.9,2673,515313114,21.5,12,51.5
2001,Brazil,7.6,17.6,2.3,1714,552246665,28.5,11,62.5
2010,Brazil,12.1,12.3,2.2,2205,56127465,10.3,9,34.9
2005,UK,16.8,13.7,4.2,2579,339256508,44.1,11,16.9
2017,Japan,29.8,1.9,1.6,1073,1385374585,39.4,8,28.3
2001,Japan,28.6,4.5,3.2,1166,509030277,16.2,2,56.9
2018,China,34.4,15.8,3.6,2734,305046905,37.8,13,50.3
2001,India,9.3,14.8,3.1,997,874069049,14.0,9,21.8
2005,Japan,10.7,15.7,1.1,629,1328981569,27.6,14,16.3
2023,Brazil,14.3,12.2,1.1,2661,743306453,10.1,7,40.0
2018,Japan,5.7,18.3,1.7,1485,604216448,41.8,1,44.3
2016,Brazil,26.6,0.7,2.4,1492,83325440,12.7,7,38.8
2004,Japan,17.5,9.3,4.0,2621,1350315792,41.4,10,39.5
2003,India,,19.6,3.0,600,142785204,36.2,4,53.3
2023,France,21.4,11.2,4.9,926,343707677,36.5,13,15.5
2016,Japan,34.4,19.6,4.1,540,902591144,23.5,10,11.2
2009,UK,11.8,11.3,2.7,928,716127278,11.2,6,
2019,Japan,21.3,11.9,3.5,865,912478829,28.6,14,69.2
2023,China,28.8,4.5,3.7,1108,1180278134,33.8,9,47.2
2005,India,11.8,12.3,1.1,1324,1011963413,31.4,3,24.4
2012,UK,9.2,12.8,1.5,2543,910306304,39.0,0,68.9
2010,China,30.9,12.1,2.0,2915,3660891,17.0,5,62.1
2018,France,18.8,3.9,2.9,1617,955697187,23.5,10,27.7
2014,India,27.5,18.5,3.0,667,894808615,45.4,9,10.1
2022,China,,8.9,3.6,1864,1090719866,35.9,13,30.4
2015,China,28.8,11.3,3.0,1085,674280911,19.4,14,30.1
2003,USA,15.2,14.2,2.2,2821,788823352,15.8,4,11.2
2007,India,31.2,7.8,1.4,,403372362,23.8,12,18.1
2017,Brazil,8.8,10.8,4.8,2052,1256199697,30.8,0,55.5
2018,France,24.8,5.4,4.1,2620,1267230374,24.9,5,44.9
2018,Brazil,9.8,0.5,1.0,656,239135473,20.6,,51.3
2017,India,21.8,9.3,1.6,1927,1113231627,39.1,7,10.2
2000,USA,15.3,15.6,3.6,1496,884137537,20.6,10,36.1
2011,Brazil,29.0,1.5,3.6,2471,959148511,7.8,13,62.5
2016,USA,16.9,18.8,3.8,653,818022751,33.5,4,65.6
2008,Japan,10.9,,1.7,2003,1296305728,28.7,1,32.0
2023,Japan,27.7,4.7,1.1,1286,1368121693,18.9,1,53.6
2010,China,13.3,13.5,3.5,772,400506741,36.2,0,65.7
2015,France,14.4,10.2,4.2,2527,618908216,5.7,13,58.3
2003,UK,10.9,6.9,2.9,1142,450513176,20.8,11,25.0
2002,Canada,21.7,17.3,3.0,1831,,14.8,14,68.5
2019,China,10.0,16.4,3.5,2298,608237759,35.5,0,55.7
2023,France,31.9,19.9,4.2,907,1004488364,38.3,9,28.8
2021,Japan,10.1,5.0,3.4,,847894451,,12,41.6
2013,Brazil,20.2,11.2,1.7,2353,420231924,21.0,10,29.5
2022,UK,22.9,13.6,1.1,1652,194197411,41.4,11,16.7
2013,Canada,6.0,14.2,2.5,1641,717609187,18.3,0,36.6
2023,France,15.9,4.5,3.2,643,373729923,30.7,4,25.2
2001,France,27.0,13.3,4.4,2989,1018260723,38.5,14,64.6
2013,China,14.4,1.5,4.2,1359,709386257,18.6,13,12.9
2018,Canada,34.0,1.1,1.6,647,670245096,41.8,0,29.7
2006,UK,30.7,7.4,4.4,1859,161097813,46.8,7,49.6
2002,India,8.5,0.8,5.0,1857,986237569,29.5,0,53.8
2022,India,14.6,18.3,4.1,1857,938604707,45.6,7,51.1
2017,Canada,14.7,,3.5,2098,1143896678,43.6,5,57.5
2005,India,34.9,7.8,3.3,1959,442386268,23.7,,58.2
2022,USA,25.6,10.1,4.7,1119,299488478,18.1,9,69.8
2004,Japan,7.8,6.0,2.3,2084,604837682,39.8,9,16.2
2009,USA,5.9,15.8,1.5,1663,703726244,8.4,2,20.8
2016,UK,11.3,10.5,1.2,1055,824678707,,2,29.7
2006,India,16.4,5.4,3.7,2452,30380783,31.8,11,22.6
2012,Brazil,32.5,8.8,1.5,2459,802778534,48.3,1,12.1
2003,Brazil,27.8,16.1,4.7,1980,1047317550,25.7,7,45.8
2002,Canada,32.0,17.4,3.0,1602,1182222401,47.0,11,38.8
2008,France,24.6,,2.3,2851,460686642,20.5,13,58.9
2012,Japan,14.4,17.3,4.6,1903,961408872,12.2,3,13.8
2017,India,12.6,1.2,3.6,2677,1206594322,30.3,12,58.9
2014,UK,29.6,15.9,2.2,1799,1362964625,47.5,0,39.7
2021,UK,12.3,12.9,1.1,1706,337303115,47.2,11,
2014,China,7.6,10.2,3.2,577,316387268,10.1,1,12.0
2009,India,23.4,15.8,4.6,777,534063088,8.3,0,53.4
2005,USA,27.1,12.0,2.5,622,1152039496,17.9,13,17.7
2023,USA,12.6,1.1,1.9,1594,572998076,,0,63.9
2012,France,5.9,4.6,2.6,979,699195057,5.1,10,36.8
2004,USA,8.2,14.4,1.6,2631,1105460942,42.7,3,57.1
2020,France,5.1,8.5,4.3,1315,943264951,50.0,7,41.3
2005,India,24.7,10.6,1.4,691,776502158,12.2,13,67.4
2005,India,34.8,15.8,1.3,1910,1287584579,12.4,1,51.9
2015,UK,7.3,15.1,2.9,1034,628479992,40.7,7,11.2
2008,Brazil,,0.7,4.4,2489,413504125,19.8,0,45.2
2007,Canada,32.1,5.5,4.0,1388,73639916,12.4,12,57.6
2023,USA,6.8,17.5,3.3,971,762718291,38.2,2,48.4
2001,UK,24.5,4.7,4.2,1130,31249071,49.5,5,66.7
2019,UK,31.2,16.3,2.7,1537,1313095544,7.5,9,65.8
2010,Brazil,5.0,15.8,5.0,2329,909090341,21.0,12,32.9
2014,France,16.7,7.8,4.1,2666,1139899651,27.6,14,20.3
2005,Canada,,5.8,3.7,1045,700477453,19.2,10,13.6
2021,France,11.8,5.0,4.1,1133,769315232,37.8,11,16.3
2016,India,16.4,6.7,2.2,2436,1018037875,44.4,13,21.1
2005,India,17.4,2.0,4.2,1462,13350251,41.2,8,42.6
2014,USA,5.5,10.7,3.2,1015,560097732,42.2,2,50.4
2010,Brazil,17.6,16.0,3.1,1920,584023989,18.7,4,52.3
2018,Japan,34.0,7.2,2.2,2653,,19.3,13,64.2
2012,Canada,8.8,9.5,2.1,1608,1007525728,26.0,4,16.7
2011,UK,26.2,8.6,4.1,713,1287012541,17.9,9,20.6
2004,Canada,34.2,0.8,3.6,2744,94344322,48.3,6,35.7
2019,India,23.6,8.0,1.2,1365,1358019778,10.0,8,20.2
,UK,21.8,10.0,2.2,1273,876123161,14.9,14,30.1
